study_hours,days_before_exam,attendance_percentage,pass
3.08,3,80,1
0.16,2,92,1
1.68,2,19,1
2.53,1,82,1
3.82,7,22,1
3.05,7,28,1
0.57,7,19,0
2.29,1,91,1
0.13,6,80,0
3.46,6,24,1
2.85,5,42,0
2.23,6,83,1
1.99,5,29,0
3.82,1,63,1
3.54,7,50,1
3.75,7,97,1
2.81,7,77,0
3.58,6,77,1
2.19,4,50,0
0.34,2,35,0
0.45,5,21,0
3.07,3,68,1
0.42,1,89,0
1.13,2,66,0
3.28,2,28,1
2.49,6,23,0
3.29,2,23,1
3.0,5,57,0
2.01,2,51,0
2.59,5,33,0
2.6,4,93,1
1.16,7,57,0
3.67,1,12,1
3.3,2,53,1
3.74,6,88,1
2.98,4,42,0
3.34,4,91,1
2.36,1,10,0
0.64,1,49,0
2.89,2,49,0
2.07,7,67,0
1.68,5,30,0
2.45,7,10,0
1.3,4,50,0
3.66,7,97,1
3.85,5,36,1
2.43,1,88,1
1.2,7,69,0
3.37,1,55,1
0.24,6,98,1
1.59,6,70,0
0.64,6,12,0
1.9,7,39,0
0.64,4,34,0
3.02,6,97,1
3.63,5,31,1
2.77,1,27,0
3.54,1,57,1
2.81,3,69,0
1.96,5,40,0
2.79,4,36,0
0.9,7,61,0
3.04,5,35,1
2.97,5,15,0
1.88,3,39,0
2.66,2,87,1
3.21,2,94,1
0.32,4,79,0
2.16,6,80,0
3.83,3,48,1
1.74,1,25,0
2.36,4,11,0
3.47,7,73,1
0.53,3,87,0
3.79,7,88,1
0.71,2,17,0
2.53,3,70,0
3.72,1,48,1
0.34,4,27,0
3.4,5,12,1
0.13,4,64,0
0.56,3,88,0
3.78,3,86,1
3.26,4,12,1
2.54,1,95,1
2.75,1,48,0
1.58,2,54,0
0.5,3,25,0
0.94,3,40,0
3.42,2,100,1
3.74,3,18,1
3.52,4,99,1
3.2,4,92,1
1.87,3,34,0
3.29,6,78,1
2.3,6,44,0
0.12,6,53,0
3.64,1,76,1
2.65,3,15,0
3.8,5,66,1
3.5,3,91,1
2.31,1,40,0
0.58,6,37,0
1.59,3,14,0
3.64,6,62,1
3.62,2,18,1
1.58,7,100,1
1.04,3,20,0
3.82,4,51,1
1.31,3,94,1
1.09,2,37,0
2.21,5,38,0
1.73,6,56,0
2.04,7,85,1
2.46,4,50,0
2.07,2,62,0
3.71,5,87,1
1.14,6,88,0
1.53,6,79,0
0.94,3,66,0
2.34,1,84,1
1.99,1,84,1
1.36,1,11,0
1.52,6,36,0
1.12,4,69,0
2.95,3,69,0
3.22,2,72,1
3.55,1,76,1
3.52,5,17,1
1.33,1,53,0
2.42,6,60,0
3.03,2,74,1
2.98,6,92,1
0.34,4,16,0
1.33,6,75,0
1.97,3,53,0
3.31,7,28,1
0.32,2,35,0
2.83,6,18,0
3.22,4,85,1
3.78,4,91,1
1.03,6,69,0
0.34,6,46,0
0.71,3,51,0
0.53,6,16,0
3.52,3,35,1
1.97,2,81,1
3.98,2,70,1
2.03,3,46,0
1.39,3,17,0
3.02,6,61,1
3.03,5,50,1
2.42,2,28,0
1.31,7,50,0
0.17,5,97,1
3.6,3,94,1
1.54,6,21,0
2.32,5,58,0
1.77,2,48,0
1.28,7,91,1
2.96,2,84,1
0.59,4,93,1
0.71,6,82,0
0.51,7,45,0
0.74,1,20,0
1.01,1,42,0
1.88,1,94,1
3.52,2,89,1
3.5,7,61,1
3.1,4,52,1
0.43,7,93,1
3.78,7,56,1
1.49,6,36,0
2.04,3,50,0
.5,1,99,1
1.94,2,68,0
1.07,3,42,0
2.71,7,15,0
1.44,2,20,0
3.57,3,22,1
0.43,7,94,1
2.42,1,57,0
0.15,3,24,0
2.63,6,96,1
1.84,4,85,1
2.69,7,39,0
0.47,1,19,0
2.73,7,27,0
3.14,1,66,1
1.32,4,84,0
0.5,7,10,0
0.32,6,33,0
2.0,4,58,0
0.41,7,89,0
1.32,7,12,0
3.11,3,95,1
2.04,6,84,1
3.94,7,17,1
1.94,5,37,0
0.46,4,50,0
2.03,7,56,0
3.78,2,41,1
3.2,5,24,1
3.37,4,65,1
2.52,2,100,1
1.26,1,99,1
3.2,5,53,1
0.81,4,59,0
3.08,2,28,1
0.81,1,50,0
2.19,4,94,1
3.81,5,10,1
3.3,2,43,1
1.31,5,46,0
0.94,1,22,0
3.95,7,66,1
2.47,7,85,1
0.35,7,48,0
0.52,4,63,0
2.6,3,30,0
2.06,2,47,0
2.48,6,46,0
3.8,1,98,1
3.47,7,20,1
1.57,7,83,1
0.65,4,64,0
3.62,6,83,1
1.74,4,77,0
1.36,3,93,1
1.68,1,19,0
2.62,3,100,1
1.79,1,43,0
3.16,2,48,1
3.38,1,77,1
0.83,3,78,0
2.05,4,40,0
2.02,3,87,1
2.02,2,70,0
2.12,3,76,0
1.47,5,21,0
2.08,1,88,1
2.6,4,19,0
1.69,3,64,0
3.58,2,54,1
3.9,1,14,1
0.31,5,67,0
2.34,5,22,0
0.14,4,12,0
2.39,4,98,1
1.23,5,52,0
0.12,1,42,0
1.56,2,44,0
3.53,6,90,1
0.22,2,84,0
2.29,1,90,1
0.33,7,76,0
2.64,5,70,0
0.68,5,30,0
1.69,7,96,1
2.74,2,52,0
1.2,5,92,1
3.41,4,42,1
2.55,6,84,1
2.68,6,43,0
2.63,7,21,0
0.25,5,87,0
2.28,6,19,0
2.4,6,61,0
2.08,2,73,0
3.78,5,37,1
0.84,3,19,0
1.19,7,85,0
2.39,3,53,0
0.11,4,60,0
2.66,2,31,0
2.83,4,99,1
0.58,7,55,0
2.08,1,39,0
2.32,3,42,0
2.51,2,76,0
2.61,2,20,0
2.47,4,65,0
3.75,1,66,1
2.82,1,55,0
0.88,4,78,0
2.18,3,94,1
2.69,2,42,0
3.42,2,60,1
1.0,5,46,0
2.81,7,93,1
0.3,1,94,1
0.18,2,95,1
3.4,1,95,1
1.77,4,42,0
2.12,1,26,0
0.28,6,90,0
3.55,7,30,1
0.65,3,66,0
3.2,3,14,1
3.41,6,12,1
1.62,1,37,0
0.69,1,18,0
2.2,6,40,0
0.66,1,66,0
2.27,6,31,0
0.35,2,95,1
3.8,2,60,1
1.74,7,100,1
1.2,6,60,0
2.91,2,56,0
0.68,6,37,0
0.21,5,16,0
0.25,3,78,0
0.48,1,99,1
0.19,5,78,0
0.96,3,82,0
