study_hours,days_before_exam,attendance_percentage,pass
1.65,4,86,0
9.37,6,98,1
6.35,3,59,0
1.01,2,81,0
2.68,4,62,0
6.89,4,95,1
7.28,2,55,1
2.59,7,12,0
7.96,4,95,1
2.36,7,93,1
5.23,4,86,1
7.46,3,91,1
9.34,1,68,1
7.9,2,80,1
4.0,6,75,0
4.65,7,94,1
8.28,7,49,1
9.42,5,15,1
7.29,2,92,1
9.49,5,57,1
4.71,3,39,0
4.09,5,73,0
2.59,4,92,1
9.53,6,70,1
7.38,4,86,1
1.95,2,19,0
5.12,4,66,1
2.7,4,48,0
5.77,4,51,0
1.84,1,61,0
5.77,5,35,0
6.93,1,49,0
1.08,2,62,0
1.24,6,26,0
8.43,7,56,1
4.69,6,24,0
3.72,3,12,0
4.13,1,76,0
7.37,5,64,1
4.4,5,64,0
0.75,5,56,0
4.45,5,48,0
5.03,2,86,1
6.17,5,61,1
7.05,1,48,1
9.58,6,68,1
8.12,5,21,0
7.19,2,43,1
8.01,5,46,1
2.73,4,85,0
2.95,6,87,0
7.91,2,95,1
5.01,7,18,0
9.48,7,85,1
2.57,3,90,0
9.46,3,96,1
3.41,4,93,1
3.08,1,91,1
2.06,1,89,0
6.47,2,55,0
3.17,5,16,0
4.0,1,71,0
1.27,5,16,0
9.82,5,44,1
0.76,2,39,0
7.14,3,71,1
2.97,6,83,0
5.65,3,36,0
3.95,1,22,0
0.85,5,49,0
6.21,5,100,1
9.74,4,64,1
8.02,2,54,1
1.49,7,52,0
1.92,7,70,0
0.74,7,34,0
8.63,7,95,1
8.09,4,47,1
6.7,4,36,0
7.31,6,37,1
2.43,6,10,0
5.89,6,78,1
9.87,7,19,1
9.1,5,31,1
5.23,6,37,0
9.49,5,70,1
0.91,7,53,0
4.26,1,97,1
4.34,4,80,0
0.85,1,76,0
5.95,1,36,0
1.77,2,58,0
6.92,1,46,0
9.27,4,10,1
6.66,7,94,1
9.91,6,54,1
0.92,1,42,0
8.99,5,97,1
2.77,7,75,0
3.4,4,21,0
8.62,7,24,1
3.17,3,36,0
3.89,5,93,1
7.71,3,63,1
7.59,4,83,1
9.59,4,51,1
5.19,7,27,0
3.14,3,59,0
6.76,6,59,0
9.3,7,56,1
4.28,4,34,0
3.85,4,38,0
4.34,6,73,0
3.91,6,90,0
6.58,2,90,1
1.23,5,43,0
7.43,3,46,1
4.73,7,26,0
7.53,2,74,1
5.31,2,30,0
4.33,5,58,0
4.56,7,66,0
1.1,5,16,0
7.89,6,26,0
8.67,1,72,1
1.57,7,97,0
2.51,4,60,0
4.6,1,24,0
2.74,7,76,0
4.81,5,54,0
8.62,1,35,1
2.07,3,23,0
4.86,6,44,0
4.92,3,81,0
8.7,4,94,1
6.96,4,48,0
8.29,1,28,0
3.79,2,28,0
5.54,6,90,1
4.16,2,64,0
8.56,6,99,1
4.75,6,37,0
2.73,5,28,0
8.73,6,47,1
4.16,5,11,0
2.94,3,26,0
4.16,2,99,1
7.07,2,61,1
3.05,6,90,0
5.75,2,68,1
1.91,1,51,0
6.35,6,27,0
7.87,7,82,1
9.92,2,28,1
3.07,4,63,0
2.96,3,21,0
2.59,1,67,0
5.32,7,32,0
4.94,4,75,0
8.86,1,13,1
2.91,4,80,0
4.93,2,76,0
3.83,2,63,0
6.66,5,64,1
4.68,7,46,0
2.94,2,29,0
8.83,6,85,1
8.2,2,47,1
1.63,4,22,0
2.85,6,46,0
3.81,2,27,0
3.49,5,61,0
2.18,2,44,0
5.76,6,26,0
1.36,3,18,0
8.77,6,39,1
0.79,5,17,0
5.92,6,69,1
4.67,4,76,0
5.43,7,80,1
7.72,6,99,1
5.35,6,99,1
2.53,6,32,0
8.48,5,23,0
4.86,2,85,0
3.16,4,18,0
4.93,4,98,1
3.94,1,29,0
9.73,2,84,1
7.11,2,17,0
1.53,1,33,0
2.74,1,33,0
4.85,2,73,0
7.17,2,67,1
7.31,2,24,0
7.52,4,47,1
3.04,1,83,0
8.91,2,94,1
1.69,2,10,0
0.57,4,20,0
9.6,4,35,1
2.87,7,23,0
8.44,1,77,1
7.17,6,96,1
8.39,4,97,1
0.76,6,59,0
1.66,6,74,0
7.68,7,67,1
9.9,5,57,1
9.5,5,95,1
1.94,7,55,0
3.73,7,16,0
7.33,7,87,1
4.84,3,79,0
1.96,5,90,0
7.79,5,96,1
0.56,1,54,0
1.56,5,30,0
4.8,1,58,0
3.53,4,77,0
1.79,4,38,0
1.65,6,31,0
9.96,1,42,1
4.82,6,79,0
8.35,6,25,0
7.36,4,48,1
7.76,1,41,1
4.29,5,11,0
3.31,2,69,0
4.45,6,20,0
4.9,4,46,0
3.11,7,88,0
5.85,4,68,1
0.71,2,85,0
9.74,5,52,1
2.92,7,74,0
4.38,7,37,0
2.27,6,17,0
2.08,3,93,1
1.18,3,81,0
9.11,6,90,1
5.49,4,50,0
9.07,1,12,1
0.99,5,32,0
6.82,2,100,1
2.13,5,37,0
1.42,1,60,0
3.92,1,28,0
0.79,6,34,0
2.3,7,30,0
5.62,4,96,1
5.41,2,20,0
3.35,1,67,0
9.53,3,32,1
9.8,4,50,1
6.72,7,22,0
7.88,2,94,1
